Modelo,RMSE,MAE,R²,MSE,Multi-Step
DroneMobileNetV3_large,0.3717130412512827,0.2143923044204712,0.8533872961997986,0.13817058503627777,
DroneNavSA-ConvLSTM_ligero,0.37479229976663486,0.22998382151126862,0.8514161109924316,0.1404692679643631,
PilotNetRegressor,0.37536571471638946,0.22160108387470245,0.8507391810417175,0.1408994197845459,
DroneNavSA-ConvLSTM_completo,0.37740648510303265,0.23380722105503082,0.8498042225837708,0.14243565499782562,
DroneResNet18,0.3815494838497153,0.2150929570198059,0.8459441661834717,0.1455800086259842,
DroneNav-ConvLSTM,0.3828690350883943,0.2355300635099411,0.8449876308441162,0.14658869802951813,
DroneMobileNetV3_small,0.3905105995505378,0.2335462123155594,0.8384711146354675,0.1524985283613205,
MLP,0.39922014672917777,0.25061503052711487,0.830671489238739,0.15937672555446625,
ConvLSTM,0.40728644061170743,0.2555125951766968,0.8233022093772888,0.16588224470615387,
DroneConvMLP,0.42881401751847015,0.27081605792045593,0.8035658001899719,0.1838814616203308,
